Subject,Course #,Course Title,Ver.,Sec.,Instructor Real Name,Time,Capacity
CMSC,104,Problem Solving & Prog.,,1,Staff,tt530,40
CMSC,104,Problem Solving & Prog.,,2,Staff,mw530,40
CMSC,201ss,Computer Science I,,1,Staff,mw230,60
CMSC,201,Computer Science I,,1,"Hamilton, Eric",mw1,120
CMSC,201,Computer Science I,,2,"Johnson, Benjamin",tt1130,100
CMSC,201,Computer Science I,,3,"Hamilton, Eric",mw4,100
CMSC,202,Computer Science II,,1,"Dixon, Jeremy",tt10,100
CMSC,202,Computer Science II,,2,"Joeg, Prasanna",mw530,100
CMSC,202,Computer Science II,,3,"Donyaee, Kash",tt230,100
CMSC,202,Computer Science II,,4,"Donyaee, Kash",tt4,100
CMSC,202,Computer Science II,,5,"Dixon, Jeremy",mw1,100
CMSC,203,Discrete Structures,,1,"Wilson, Marcella",tt530,80
CMSC,203,Discrete Structures,,2,"Hamilton, Eric",mw530,40
CMSC,203,Discrete Structures,,3,"Yesha, Yaacov",tt10,40
CMSC,203,Discrete Structures,,4,"Yesha, Yaacov",tt1130,40
CMSC,203,Discrete Structures,,5,"Joeg, Prasanna",mw1,40
CMSC,203,Discrete Structures,,6,"Joeg, Prasanna",mw230,40
CMSC ,291,Continued Computer Science for Non-Majors,,1,Staff,mw10,30
CMSC,304,Social & Ethical Issues in IT,,1,Staff,tt530,40
CMSC,304,Social & Ethical Issues in IT,,2,Staff,tt710,40
CMSC,304,Social & Ethical Issues in IT,,3,Staff,mw530,40
CMSC,304,Social & Ethical Issues in IT,,4,Staff,mw710,40
CMSC,304,Social & Ethical Issues in IT,,5,Staff,tt530,40
CMSC,304,Social & Ethical Issues in IT,,6,Staff,mw530,40
CMSC,313,Comp. Org. & Assembly Lang.,,1,"Sekyonda, Ivan",tt1130,40
CMSC,313,Comp. Org. & Assembly Lang.,,2,"Sekyonda, Ivan",tt4,40
CMSC,313,Comp. Org. & Assembly Lang.,,3,"Kartchner, Jeannette",mw1,40
CMSC,313,Comp. Org. & Assembly Lang.,,4,"Sekyonda, Ivan",mw230,40
CMSC,331,Programming Languages,,1,"Donyaee, Kash",tt10,40
CMSC,331,Programming Languages,,2,"Vafaei, Fereydoon",tt1,40
CMSC,331,Programming Languages,,3,"Donyaee, Kash",mw1,40
CMSC,331,Programming Languages,,4,"Vafaei, Fereydoon",tt4,40
CMSC,341,Data Structures,,1,"Marron, Christopher",mw10,40
CMSC,341,Data Structures,,2,"Wilson, Marcella",tt1,40
CMSC,341,Data Structures,,3,"Wilson, Marcella",tt230,40
CMSC,341,Data Structures,,4,"Johnson, Benjamin",mw1,40
CMSC,341,Data Structures,,5,"Bargteil, Adam",mw230,40
CMSC,341,Data Structures,,6,"Johnson, Benjamin",mw4,40
CMSC,411ce,Computer Architecture,,1,"Squire, Jon",tt230,40
CMSC,411cs,Computer Architecture,,1,"Sekyonda, Ivan",mw1,40
CMSC,411cs,Computer Architecture,,2,"Olano, Marc",mw230,40
CMSC,411cs,Computer Architecture,,3,Staff,tt530,40
CMSC,421,Operating Systems,,1,Staff,tt1130,40
CMSC,421,Operating Systems,,2,"Perkins, Dmitri",tt230,40
CMSC,421,Operating Systems,,3,Staff,mw530,40
CMSC,426,Computer Security,,1,Staff,tt1,40
CMSC,426,Computer Security,,3,Staff,tt4,40
CMSC,435/634,Computer Graphics,,1,"Olano, Marc",mw1,50
CMSC,441,Algorithms,,1,"Chang, Richard",tt1,40
CMSC,441,Algorithms,,2,"Chang, Richard",tt10,40
CMSC,441,Algorithms,,3,"Marron, Christopher",mw10,40
CMSC,443/652,Cryptography and Data Security,,1,"Zhang, Haibin",tt10,50
CMSC,447,Software Engineering I,,1,"Dutt, Abhijit",mw1,30
CMSC,447,Software Engineering I,,2,"Dutt, Abhijit",mw230,30
CMSC,447,Software Engineering I,,3,Staff,tt530,30
CMSC,447,Software Engineering I,,4,Staff,tt710,30
CMSC,455,Numerical Computations,,2,"Squire, Jon",mw4,40
CMSC,461,Databases,,1,"Kalpakis, Kostas",tt1130,40
CMSC,461,Databases,,2,Staff,mw230,40
CMSC,471,Artificial Intelligence,,1,"Vafaei, Fereydoon",mw4,50
CMSC,471,Artificial Intelligence,,2,"Finin, Tim",tt4,50
CMSC,471,Artificial Intelligence,,3,Staff,mw530,50
CMSC,476/676,Information Retrieval,,1,"Pearce, Claudia",mw1,50
CMSC,478,Machine Learning,,1,"Vafaei, Fereydoon",tt1130,50
CMSC,479/679,Introduction to Robotics,,1,"Matuszek, Cynthia",tt230,50
CMSC,481,Computer Networks,,1,"Sidhu, Deepinder",tt4,50
CMSC,691,Spec Topic: Quantum Security ,,1,"Sidhu, Deepinder",tt710,50
CMSC,483/691,Parallel & Distr. Processing,,1,"Simon, Tyler",tt530,50
CMSC,487/687,Network Security,,1,"Zieglar, Edward",tt710,50
CMSC,491/691,Spec Topic: Malware,p,1,"Nicholas, Charles",mw530,50
CMSC,491/691,Spec Topic: Computer Vision,h,1,"Chapman, David",tt4,50
CMSC,491,Spec Topic: Data Science,c,1,"Dutt, Abhijit",mw4,40
CMSC,493,Games Capstone,,1,staff,tt1,50
CMSC,611,Computer Architecture,,1,"Liu, Chenchen",tt4,50
CMSC,621,Operating Systems,,1,"Kalpakis, Kostas",tt1,50
CMSC,641,Algorithms,,1,"Sherman, Alan",MWF10,50
CMSC,678,Machine Learning,,1,"Oates, Tim",tt230,50
CMSC,682,Network Technologies,,1,"Sidhu, Deepinder",tt530,50
CMSC,684,Wireless Sensor Networks,,1,"Younis, Mohamed",MW230,40
CMSC,691,Spec Topic: Graphical and Statistical Models of Learning,a,1,"Ferraro, Frank",mw4,50
CMSC,491/691,Spec Topic: Data Driven Design of Autonmous Systems,h,1,"Zhu, Ting",mw1,50
